timestamp,open,high,low,close,vol,start
2019-03-15 09:00:14.459,14075,14085,14025,14025,110541,2019-03-14 15:19:38.222
2019-03-15 09:00:51.253,14025,14035,13975,13985,72058,2019-03-15 09:00:14.459
2019-03-15 09:01:49.394,13985,14015,13980,14005,76198,2019-03-15 09:00:51.253
2019-03-15 09:02:39.574,14005,14010,13985,14010,74026,2019-03-15 09:01:49.394
2019-03-15 09:03:07.499,14010,14025,13990,14000,71656,2019-03-15 09:02:39.574
2019-03-15 09:03:33.053,14000,14010,13985,13990,71884,2019-03-15 09:03:07.499
2019-03-15 09:03:47.423,13990,13995,13930,13930,74759,2019-03-15 09:03:33.053
2019-03-15 09:04:03.589,13930,13940,13895,13910,72574,2019-03-15 09:03:47.423
2019-03-15 09:05:21.727,13910,13940,13910,13920,72326,2019-03-15 09:04:03.589
2019-03-15 09:05:45.147,13920,13920,13850,13850,72257,2019-03-15 09:05:21.727
2019-03-15 09:06:23.676,13850,13875,13850,13865,72184,2019-03-15 09:05:45.147
2019-03-15 09:07:13.963,13865,13870,13830,13835,74161,2019-03-15 09:06:23.676
2019-03-15 09:08:31.723,13835,13850,13825,13835,72332,2019-03-15 09:07:13.963
2019-03-15 09:09:11.940,13835,13885,13830,13885,76085,2019-03-15 09:08:31.723
2019-03-15 09:09:37.288,13885,13890,13810,13845,73522,2019-03-15 09:09:11.940
2019-03-15 09:10:44.911,13845,13860,13810,13810,73779,2019-03-15 09:09:37.288
2019-03-15 09:11:16.880,13810,13830,13790,13790,74029,2019-03-15 09:10:44.911
2019-03-15 09:12:10.747,13790,13800,13770,13780,72958,2019-03-15 09:11:16.880
2019-03-15 09:13:29.600,13780,13825,13775,13810,72894,2019-03-15 09:12:10.747
2019-03-15 09:14:27.875,13810,13840,13800,13805,73193,2019-03-15 09:13:29.600
2019-03-15 09:15:34.262,13805,13825,13795,13810,72852,2019-03-15 09:14:27.875
2019-03-15 09:16:44.674,13810,13860,13810,13855,72314,2019-03-15 09:15:34.262
2019-03-15 09:17:53.494,13855,13860,13820,13820,73333,2019-03-15 09:16:44.674
2019-03-15 09:18:34.704,13820,13830,13800,13800,72648,2019-03-15 09:17:53.494
2019-03-15 09:19:09.168,13800,13800,13775,13775,78344,2019-03-15 09:18:34.704
